File Name,Graph vs SDont,Graph vs OWLGrEd,Graph vs WebVOWL,,,,,,,,sdont,,,owlgred,,,webvowl,,
affordance.txt,7,4,12,2,17,17,6,22,13,,0.636363636,0.368421053,0.466666667,0.105263158,0.105263158,0.105263158,0.214285714,0.315789474,0.255319149
agentrole.txt,1,0,2,1,3,2,1,5,2,,1,0.333333333,0.5,0.25,0.333333333,0.285714286,0.166666667,0.333333333,0.222222222
AlgorithmImplementationExecution.txt,7,11,2,0,31,9,6,17,3,,0.388888889,0.777777778,0.518518519,0,0,0,0.260869565,0.666666667,0.375
aquaticresourceobservation.txt,10,26,4,10,48,4,0,25,14,,0.277777778,0.714285714,0.4,0.172413793,0.714285714,0.277777778,0,0,0
bag.txt,4,2,4,6,4,2,1,6,7,,0.666666667,0.5,0.571428571,0.6,0.75,0.666666667,0.142857143,0.125,0.133333333
catchrecord.txt,3,12,4,3,28,4,0,23,7,,0.2,0.428571429,0.272727273,0.096774194,0.428571429,0.157894737,0,0,0
classification.txt,0,2,2,0,3,2,0,2,2,,0,0,0,0,0,0,0,0,0
collectionentity.txt,0,2,2,0,3,2,0,2,2,,0,0,0,0,0,0,0,0,0
componency.txt,2,2,0,0,7,2,0,4,2,,0.5,1,0.666666667,0,0,0,0,0,0
ComputationalEnvironment.txt,31,4,4,-1,-1,-1,30,10,5,,0.885714286,0.885714286,0.885714286,0.5,0.5,0.5,0.75,0.857142857,0.8
constituency.txt,0,2,2,0,2,2,0,2,2,,0,0,0,0,0,0,0,0,0
Course.txt,4,9,4,0,2,8,2,10,6,,0.307692308,0.5,0.380952381,0,0,0,0.166666667,0.25,0.2
description.txt,2,3,1,2,6,1,1,3,2,,0.4,0.666666667,0.5,0.25,0.666666667,0.363636364,0.25,0.333333333,0.285714286
eventprocessing.txt,17,17,11,16,32,12,0,30,28,,0.5,0.607142857,0.548387097,0.333333333,0.571428571,0.421052632,0,0,0
gearspecies.txt,0,6,2,0,8,2,0,5,2,,0,0,0,0,0,0,0,0,0
gearwaterarea.txt,1,1,0,1,2,0,0,2,1,,0.5,1,0.666666667,0.333333333,1,0.5,0,0,0
HazardousSituation.txt,5,2,5,2,19,8,5,8,5,,0.714285714,0.5,0.588235294,0.095238095,0.2,0.129032258,0.384615385,0.5,0.434782609
informationrealization.txt,1,1,1,0,6,2,0,2,2,,0.5,0.5,0.5,0,0,0,0,0,0
intensionextension.txt,3,2,2,3,6,2,2,3,3,,0.6,0.6,0.6,0.333333333,0.6,0.428571429,0.4,0.4,0.4
invoice.txt,10,6,0,10,17,0,9,10,1,,0.625,1,0.769230769,0.37037037,1,0.540540541,0.473684211,0.9,0.620689655
list.txt,6,2,7,8,6,5,2,17,11,,0.75,0.461538462,0.571428571,0.571428571,0.615384615,0.592592593,0.105263158,0.153846154,0.125
literalreification.txt,3,0,3,4,3,2,2,7,4,,1,0.5,0.666666667,0.571428571,0.666666667,0.615384615,0.222222222,0.333333333,0.266666667
MicroblogEntry.txt,7,0,3,7,9,3,7,1,3,,1,0.7,0.823529412,0.4375,0.7,0.538461538,0.875,0.7,0.777777778
ModifiedHazardousSituation.txt,11,4,4,9,23,6,10,11,5,,0.733333333,0.733333333,0.733333333,0.28125,0.6,0.382978723,0.476190476,0.666666667,0.555555556
naryparticipation.txt,1,5,3,2,9,2,0,9,4,,0.166666667,0.25,0.2,0.181818182,0.5,0.266666667,0,0,0
newsreportingevent.txt,7,4,7,4,22,10,7,8,7,,0.636363636,0.5,0.56,0.153846154,0.285714286,0.2,0.466666667,0.5,0.482758621
objectrole.txt,2,1,0,2,5,0,0,5,2,,0.666666667,1,0.8,0.285714286,1,0.444444444,0,0,0
ObjectWithStates.txt,1,4,10,2,9,9,0,8,11,,0.2,0.090909091,0.125,0.181818182,0.181818182,0.181818182,0,0,0
observation.txt,4,2,5,6,4,3,1,7,8,,0.666666667,0.444444444,0.533333333,0.6,0.666666667,0.631578947,0.125,0.111111111,0.117647059
